TEP,Chl,Time
221.6520543,3.44995375,Seasonal
189,3.1872473,Seasonal
232,4.05245939,Seasonal
228.4871111,3.16816245,Seasonal
488.8088889,5.14151281,Seasonal
491.538375,3.82923617,Seasonal
583.7131607,3.90951617,Seasonal
233.7545454,1.9432357,Seasonal
306.4833889,6.22365088,Seasonal
227.8345665,2.68167605,Seasonal
360.6468014,5.40814,Seasonal
358.393526,5.79723496,Seasonal
434.0760773,2.47453197,Seasonal
445.730212,2.57810401,Seasonal
211.576848,2.74325942,Seasonal
266.053958,2.75725564,Seasonal
351.981056,2.65088436,Seasonal
258.093252,2.49132743,Seasonal
325.0829867,2.65928209,Seasonal
353.5125689,2.64808511,Seasonal
259.76076,2.23099771,Seasonal
349.9410133,2.76005489,Seasonal
262.4510357,3.17434304,Seasonal
183.396642,2.67327831,Seasonal
281.3399,3.44043921,Seasonal
180.7584787,2.07424003,Seasonal
341.8520493,3.1874575,Seasonal
255.5128587,2.3062414,Seasonal
130.537092,1.32124331,Seasonal
406.624853,9.68,Tidal low
1342.352,20,Tidal low
1081.26178,12.35026588,Tidal low
437.559218,7.18286089,Tidal low
238.27367,3.717396439,Tidal low
254.62255,11.16898478,Tidal low
405.50468,4.512381822,Tidal low
570.314,9.93,Tidal low
436.0513593,1.9398763,Tidal high
352.5641479,3.55504027,Tidal high
467.2260439,4.09249518,Tidal high
690.4454725,6.38227702,Tidal high
328.988596,4.11488913,Tidal high
363.985662,4.58796142,Tidal high
436.128838,4.75871532,Tidal high
380.219032,5.31576494,Tidal high
78.38488889,0.9220608,Diel
125.9808889,0.9498816,Diel
192.34,0.8770176,Diel
110.84,0.702144,Diel
130.3034074,0.8200512,Diel
109.3911111,0.9326592,Diel
104.1751111,0.9300096,Diel
113.5204444,1.0638144,Diel
231.7497778,1.0452672,Diel
100.8426667,0.7471872,Diel
113.3031111,0.6862464,Diel
106.5416296,0.7988544,Diel
132.4284444,0.8359488,Diel
