TEP,Error1,TEPpro,Error2,Time
221.6520543,19.8089179,1.6527848,0.11501573,Seasonal
189,15.3673706,0.400213,0.052642,Seasonal
232,15.3263038,0.62183236,0.02636988,Seasonal
228.4871111,21.8992806,0.43379447,0.0864441,Seasonal
488.8088889,7.30557721,,,Seasonal
491.538375,46.0124239,0.06705549,0.0465511,Seasonal
583.7131607,37.3491331,-0.2237613,0.03221435,Seasonal
233.7545454,34.6713234,0.00093283,0.0862841,Seasonal
306.4833889,8.58843613,0.43777576,0.12567323,Seasonal
227.8345665,2.57997333,-0.158359,0.09662067,Seasonal
360.6468014,18.6404964,-0.2189254,0.05274673,Seasonal
358.393526,33.4802984,0.37313689,0.14842656,Seasonal
434.0760773,9.541375,,,Seasonal
445.730212,9.47709763,0.23203207,0.1212156,Seasonal
211.576848,9.86925339,,,Seasonal
266.053958,2.07515758,0.17867431,0.03164849,Seasonal
351.981056,16.2911892,-0.1645877,0.0595551,Seasonal
258.093252,13.1705262,-0.1146328,0.08669622,Seasonal
325.0829867,24.2042886,0.0069028,0.11290463,Seasonal
353.5125689,4.18609451,0.24353282,0.08070719,Seasonal
259.76076,49.7964394,0.34676415,0.05276904,Seasonal
349.9410133,34.1123396,-0.0715178,0.04370659,Seasonal
262.4510357,16.8655212,0.37293732,0.13328373,Seasonal
183.396642,5.47928748,1.13096313,0.03797569,Seasonal
281.3399,4.3468435,1.07635866,0.19540028,Seasonal
180.7584787,33.5782406,-0.1116888,0.09628587,Seasonal
341.8520493,32.4408366,0.81582209,0.18595505,Seasonal
255.5128587,21.0421698,-0.133878,0.05775027,Seasonal
130.537092,10.1498147,0.41712397,0.09343305,Seasonal
406.624853,28.2443219,-0.1093422,0.03346108,Tidal low
1342.352,15.26073357,,,Tidal low
1081.261778,96.00280302,-0.082631033,0.053838535,Tidal low
437.559218,8.78770219,-0.0059174,0.07517456,Tidal low
238.27367,15.051475,0.21847821,0.03857288,Tidal low
254.62255,11.985075,0.79627742,0.06750358,Tidal low
405.50468,9.7953522,1.26716076,0.20431531,Tidal low
570.314,7.4970289,0.39208728,0.02461139,Tidal low
436.0513593,28.1909302,,,Tidal high
352.5641479,11.7342764,0.05922874,0.08490817,Tidal high
467.2260439,28.7116443,-0.1318217,0.11240485,Tidal high
690.4454725,9.68951534,0.04606904,0.02553601,Tidal high
328.988596,5.7025984,0.32074875,0.08334096,Tidal high
363.985662,22.633705,0.06431134,0.02829447,Tidal high
436.128838,11.11108,-0.1282398,0.06691111,Tidal high
380.219032,40.8332189,0.67607119,0.24439857,Tidal high
78.38488889,9.22067243,1.12507702,0.14252493,Diel
125.9808889,3.38091322,0.7293272,0.10079507,Diel
192.34,18.5437968,0.08876334,0.09840629,Diel
110.84,6.93804495,0.40348584,0.0087037,Diel
130.3034074,11.6040835,0.14825797,0.06894294,Diel
109.3911111,8.81086476,0.66445916,0.31957148,Diel
104.1751111,17.007018,1.12378303,0.19079098,Diel
113.5204444,17.3143738,0.68474793,0.09746973,Diel
231.7497778,1.74168257,-0.0220694,0.16952985,Diel
100.8426667,7.02673768,0.4612069,0.16911005,Diel
113.3031111,1.22942299,0.35575448,0.06624149,Diel
106.5416296,8.65743948,0.47422937,0.07155309,Diel
132.4284444,1.02451916,0.94469365,0.10250164,Diel
