TEP,TEP pro,TEP:Chl,Chl,Temp,Salinity,Chl u0,Chl g,Chl r,PAR,CDOM,TURB
78.38488889,1.12507702,85.0105426,9.68,29.31,28.92,1.135743895,1.656063534,-0.520319638,55.4,3.106,1.6
125.9808889,0.7293272,132.627992,20,28.55,29.59,-0.126694962,1.506457197,-1.633152159,25.4,4.57,1.89
192.34,0.08876334,219.311448,12.3502659,30.64,27.07,0.222717389,1.246767025,-1.024049636,3.72,5.6,2.27
110.84,0.40348584,157.859356,7.18286089,29.9,27.3,2.073927085,2.279254191,-0.205327106,0,4.5,1.76
130.3034074,0.14825797,158.896673,3.71739644,29.76,28.22,0.950829737,0.435950528,0.589601452,4.8,4.98,2.4
109.3911111,0.66445916,117.289478,11.1689848,29.25,28.04,1.169477964,2.048189042,-0.878711078,12.84,4.86,2.78
104.1751111,1.12378303,112.015092,4.51238182,29.63,27.34,0.182680815,0,0.182680815,160.7,4.31,1.85
113.5204444,0.68474793,106.710761,9.93,31.22,25.45,1.781444348,1.866684034,-0.085239686,28.02,4.7,1.81
231.7497778,-0.0220694,221.713432,1.94,28.93,31.48,1.612344856,0.592814531,1.019530325,4.14,5.4,2.09
100.8426667,0.4612069,134.963054,3.56,28.7,31.85,1.38151729,0.632051998,0.749465292,0,4.06,1.66
113.3031111,0.35575448,165.105582,4.09,30.01,28.12,0.496856747,1.267229555,-0.770372809,4.22,4.67,1.62
106.5416296,0.47422937,133.36802,6.38,30.23,30.15,1.201293138,1.047667744,0.153625394,23.5,5.02,1.82
132.4284444,0.94469365,158.416932,4.11,29.75,32.14,1.318968315,0.577400561,0.741567754,44.94,4.18,1.52
