TEP,TEP pro,TEP:Chl,Chl,Temp,Salinity,DO,Diatom,Dino,A.sang,Pico,Syn,Nano,Chl u0,Chl g,Chl r,Tide Height,Ciliate
406.624853,-0.1093422,42.0066997,9.68,29.31,28.92,3.75,1.340003,0,74.01968,90.04714,10.40796,12.42734,1.135743895,1.656063534,-0.520319638,2.04,0
1342.352,,67.1176,20,28.55,29.59,5.51,20.4898,14.02662,941.7106,66.53633,5.769031,15.05596,-0.126694962,1.506457197,-1.633152159,2.59,0
1081.26178,-0.082631,87.5496761,12.3502659,30.64,27.07,9.66,34.02303,2.318053,1161.174,57.30372,8.256685,11.59384,0.222717389,1.246767025,-1.024049636,1.53,6.348361
437.559218,-0.0059174,60.9171226,7.18286089,29.9,27.3,5.94,27.36383,1.225609,37.74541,81.20719,4.729452,40.3909,2.073927085,2.279254191,-0.205327106,2.04,19.03022
238.27367,0.21847821,64.0969213,3.71739644,29.76,28.22,5.33,3.046451,6.543771,33.36415,58.36187,2.826141,41.08113,0.950829737,0.435950528,0.589601452,2.37,0
254.62255,0.79627742,22.797287,11.1689848,29.25,28.04,8.05,40.74329,8.896176,349.9384,105.3706,5.865296,39.00452,1.169477964,2.048189042,-0.878711078,2.27,22.27232
405.50468,1.26716076,89.8648864,4.51238182,29.63,27.34,6.66,50.43136,16.97909,78.6436,36.36507,2.151649,32.68262,0.182680815,0,0.182680815,1.95,0
570.314,0.39208728,57.433434,9.93,31.22,25.45,6.18,24.31899,10.92794,137.385,64.09842,2.056832,73.86179,1.781444348,1.866684034,-0.085239686,2.69,0
436.051359,,224.768742,1.94,28.93,31.48,6.19,8.041311,0,32.30018,62.61994,13.40382,25.58492,1.612344856,0.592814531,1.019530325,2.42,0
352.564148,0.05922874,99.034873,3.56,28.7,31.85,5.49,11.44796,6.50655,59.99026,39.80048,6.21645,19.87561,1.38151729,0.632051998,0.749465292,2.44,0
467.226044,-0.1318217,114.236197,4.09,30.01,28.12,9.44,19.78285,2.263468,34.19469,49.64791,7.446113,16.92202,0.496856747,1.267229555,-0.770372809,2.16,0
657.620559,0.04606904,103.075323,6.38,30.23,30.15,6.22,27.65982,7.881215,20.95577,65.94412,8.914037,25.82998,1.201293138,1.047667744,0.153625394,2.36,0
328.988596,0.32074875,80.0458871,4.11,29.75,32.14,5.43,23.7328,3.126115,19.65865,35.02898,5.381057,21.79384,1.318968315,0.577400561,0.741567754,2.54,0
363.985662,0.06431134,79.2997085,4.59,29.13,29.94,7.75,262.6927,10.36555,13.20664,83.35955,7.613181,16.70544,1.307009395,0.662015692,0.644993703,2.39,0
447.390137,-0.1282398,93.9895245,4.76,29.22,29.73,6.5,123.3928,25.88196,59.78301,29.14733,5.609679,35.79811,1.057353216,0.569225075,0.48812814,2.36,0
380.219032,0.67607119,71.4697429,5.32,31.23,29.28,6.82,50.60752,47.03137,69.78159,55.27963,7.699349,47.10795,1.222950362,0.608950757,0.613999605,2.68,0
