TEP,TEP pro,TEP:Chl,Chl,Temp,Salinity,DO,Solar,NO3,NH4,PO4,SiO4,POC,PON,Diatom,Dino,A.sang,Pico,Syn,Nano,Chl u0,Chl g,Chl r,Tide Height,Ciliate
221.6520543,1.6527848,64.2469723,3.44995375,18.96,25.62,7.74,9.72,,,,,,,14.30289,10.00756825,5.24755789,56.44571906,1.621159281,21.88057543,0.833463117,0.39539356,0.113326,2.57,1.347789716
189,0.400213,59.2291048,3.1872473,17.77,25.34,8.43,9.58,0.385564516,1.743781095,0.746681689,56.70908,,,17.23077,23.34276034,16.9670388,85.6326517,2.060968235,13.07729892,0.577344836,0.48972832,0.067799,2.22,2.218707238
232,0.62183236,57.197037,4.05245939,13.56,27.34,9.84,13.49,0.605887097,2.951907131,0.707931031,43.44829055,78.54995837,8.13192857,,,,,,,0.506084369,0.385577574,0.16035,2.3,
228.4871111,0.43379447,72.077953,3.16816245,16.82,26.64,11.09,12.56,0.005,1.388888889,0.551370643,43.44829055,68.63613655,12.829,6.339164,3.230831971,2.35369424,32.62657561,1.869855426,13.22733573,0.150386907,0.286404336,0.04759,2.06,2.37721194
488.8088889,,95.0990056,5.14151281,19.82,27.7,8.98,14.09,0.030080645,0.95660586,0.763375487,43.9335302,154.2717735,16.3861384,19.64499,29.88923357,40.5885679,41.00380667,1.152576948,30.11745006,0.525331661,0,0.048023,2.68,0.697603499
491.538375,0.06705549,128.339001,3.82923617,22.3,28.04,7.82,17.97,0.252903226,2.126036484,0.512544067,50.28295055,74.55730121,13.7741626,28.04801,35.29491482,82.8230364,46.76540837,0.781096163,27.28193927,0.622547874,0.393880179,0.020079,2.48,0
583.7131607,-0.2237613,149.287253,3.90951617,20.36,28.84,9.49,17.41,0.185268817,3.184816657,0.413211997,37.5010393,61.29337011,13.7242292,29.60801,17.33152088,31.3409704,43.79232938,0.672243945,16.65147265,0.118853144,0.434593059,0.017805,2.43,0
233.7545454,0.00093283,120.492034,1.9432357,24.01,28.81,4.29,19.21,0.413064516,0.585406302,0.40672486,29.5737872,98.33930449,12.0762045,8.556468,42.38753922,105.75976,25.42758724,3.334634104,48.75869591,0.259043437,0,0.128709,2.61,0
306.4833889,0.43777576,49.2738567,6.22365088,25.9,29.6,7.13,22.33,0.628387097,0.480099502,0.566276824,52.25205095,56.70694647,12.0876939,4.982003,48.62831263,82.8374371,36.36473539,6.704011124,40.41286826,0.343763663,0.349747121,0.068945,2.33,0
227.8345665,-0.158359,85.012898,2.68167605,27.96,30.87,6.11,16.12,0.678467742,1.300442233,0.717022323,91.04481455,52.57301337,11.9153382,2.366743,19.01415153,24.9146885,51.77898235,12.02291917,30.01090561,0.61270484,0.689124896,0.106379,2.25,0.130714685
360.6468014,-0.2189254,66.6629947,5.40814,28.03,28.89,7.69,19.86,0.320483871,0.535378662,0.570205328,99.0110678,68.86424854,14.8022229,3.072923,35.65111718,37.5308395,67.00254572,7.917885284,47.72250237,1.116538481,2.106965932,0.041967,2.15,0
436.0513593,,224.768742,1.9398763,28.93,31.48,6.19,12.68,0.598387097,2.137368712,0.761783405,113.0611688,81.4203164,18.257375,8.041311473,0,32.3001828,62.61994046,13.40382421,25.58492084,1.612344856,0.592814531,0.011063,2.47,0
352.5641479,0.05922874,99.034873,3.55504027,28.7,31.85,5.49,17.86,0.826209677,3.229132117,0.67697515,98.47680695,75.59511215,14.5285956,11.44796196,6.506549823,59.9902614,39.80047724,6.216450084,19.87561171,1.38151729,0.632051998,0.030663,2.4,0
467.2260439,-0.1318217,114.516187,4.09249518,30.01,28.12,9.44,18.98,0.583306452,0.590934218,0.537349373,131.335861,80.09175947,14.0985399,19.78285127,2.263467782,34.1946857,49.6479085,7.446113379,16.92202131,0.496856747,1.267229555,0.038022,2.17,0
690.4454725,0.04606904,108.220294,6.38227702,30.23,30.15,6.22,16.39,1.299354839,0.090934218,0.733717841,127.0468023,79.65101478,14.6753219,27.65982144,7.88121544,20.9557711,65.94412311,8.914037264,25.82998416,1.201293138,1.047667744,0.039742,2.39,0
328.988596,0.32074875,80.0458871,4.11488913,29.74,32.14,5.43,11.08,0.771129032,0.191818684,0.816277667,121.8598952,70.60512854,11.1875125,23.7328035,3.126114903,19.6586493,35.02898268,5.381057191,21.79384351,1.318968315,0.577400561,0.063306,2.46,0
363.985662,0.06431134,79.2997085,4.58796142,29.13,29.94,7.75,15.47,1.259354839,0,0.690555228,130.214233,59.29589925,13.0191276,262.6926702,10.36555453,13.2066386,83.35955042,7.613180866,16.70544195,1.307009395,0.662015692,0.122849,2.15,0
